Epoch   1 | Train Loss: 0.091788 | Test Loss:  0.084888
Epoch   2 | Train Loss: 0.084468 | Test Loss:  0.081812
Epoch   3 | Train Loss: 0.081936 | Test Loss:  0.081018
Epoch   4 | Train Loss: 0.080293 | Test Loss:  0.078802
Epoch   5 | Train Loss: 0.079059 | Test Loss:  0.079084
Epoch   6 | Train Loss: 0.078080 | Test Loss:  0.076741
Epoch   7 | Train Loss: 0.077325 | Test Loss:  0.076842
Epoch   8 | Train Loss: 0.076705 | Test Loss:  0.075829
Epoch   9 | Train Loss: 0.076111 | Test Loss:  0.076918
Epoch  10 | Train Loss: 0.075627 | Test Loss:  0.075063
Epoch  11 | Train Loss: 0.075235 | Test Loss:  0.074924
Epoch  12 | Train Loss: 0.074820 | Test Loss:  0.075548
Epoch  13 | Train Loss: 0.074468 | Test Loss:  0.073904
Epoch  14 | Train Loss: 0.074152 | Test Loss:  0.073744
Epoch  15 | Train Loss: 0.073901 | Test Loss:  0.073710
Epoch  16 | Train Loss: 0.073668 | Test Loss:  0.073919
Epoch  17 | Train Loss: 0.073372 | Test Loss:  0.072723
Epoch  18 | Train Loss: 0.073176 | Test Loss:  0.073181
Epoch  19 | Train Loss: 0.072896 | Test Loss:  0.072175
Epoch  20 | Train Loss: 0.072771 | Test Loss:  0.075205
Epoch  21 | Train Loss: 0.072628 | Test Loss:  0.075790
Epoch  22 | Train Loss: 0.072418 | Test Loss:  0.076504
Epoch  23 | Train Loss: 0.072226 | Test Loss:  0.073311
Epoch  24 | Train Loss: 0.072076 | Test Loss:  0.073727
Epoch  25 | Train Loss: 0.071967 | Test Loss:  0.072694
Epoch  26 | Train Loss: 0.071828 | Test Loss:  0.073460
Epoch  27 | Train Loss: 0.071707 | Test Loss:  0.073042
Epoch  28 | Train Loss: 0.071549 | Test Loss:  0.071598
Epoch  29 | Train Loss: 0.071423 | Test Loss:  0.071813
Epoch  30 | Train Loss: 0.071316 | Test Loss:  0.073452
Epoch  31 | Train Loss: 0.071202 | Test Loss:  0.072799
Epoch  32 | Train Loss: 0.071109 | Test Loss:  0.072080
Epoch  33 | Train Loss: 0.071031 | Test Loss:  0.072303
Epoch  34 | Train Loss: 0.070868 | Test Loss:  0.072335
Epoch  35 | Train Loss: 0.070711 | Test Loss:  0.072041
Epoch  36 | Train Loss: 0.070691 | Test Loss:  0.071586
Epoch  37 | Train Loss: 0.070613 | Test Loss:  0.073249
Epoch  38 | Train Loss: 0.070505 | Test Loss:  0.071657
Epoch  39 | Train Loss: 0.070462 | Test Loss:  0.072329
Epoch  40 | Train Loss: 0.070320 | Test Loss:  0.070790
Epoch  41 | Train Loss: 0.070258 | Test Loss:  0.070172
Epoch  42 | Train Loss: 0.070180 | Test Loss:  0.070843
Epoch  43 | Train Loss: 0.070129 | Test Loss:  0.072208
Epoch  44 | Train Loss: 0.070045 | Test Loss:  0.071856
Epoch  45 | Train Loss: 0.070001 | Test Loss:  0.070933
Epoch  46 | Train Loss: 0.069889 | Test Loss:  0.070704
Epoch  47 | Train Loss: 0.069828 | Test Loss:  0.070788
Epoch  48 | Train Loss: 0.069744 | Test Loss:  0.070024
Epoch  49 | Train Loss: 0.069691 | Test Loss:  0.071553
Epoch  50 | Train Loss: 0.069689 | Test Loss:  0.070281
